Year,Make,Model,Anti-Theft Module Location,PATS Type,ParameterReset
1996,Mercury,Sable (Duratec only),Stand Alone PATS Module,PATS Type A ,Parameter Reset Not Required
1997,Mercury,Sable (Duratec only),Stand Alone PATS Module,PATS Type A ,Parameter Reset Not Required
1998,Mercury,Grand Marquis,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1998,Mercury,Mountaineer (4dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1998,Mercury,Sable (Duratec only),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1999,Mercury,Cougar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
1999,Mercury,Grand Marquis,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1999,Mercury,Mountaineer (4dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1999,Mercury,Mystique (V-6 only),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
1999,Mercury,Sable (Duratec only),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2000,Mercury,Cougar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2000,Mercury,Grand Marquis,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2000,Mercury,Mountaineer (4dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2000,Mercury,Mystique (V-6 only),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2000,Mercury,Sable,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2001,Mercury,Cougar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2001,Mercury,Grand Marquis,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2001,Mercury,Mountaineer (4dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2001,Mercury,Sable,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2002,Mercury,Cougar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2002,Mercury,Grand Marquis,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2002,Mercury,Mountaineer (4dr),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2002,Mercury,Sable,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Mercury,Grand Marquis,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Mercury,Marauder,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Mercury,Mountaineer (4dr),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2003,Mercury,Sable,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Mercury,Grand Marquis,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Mercury,Marauder,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Mercury,Monterey,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Mercury,Mountaineer (4dr),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2004,Mercury,Sable,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Mercury,Grand Marquis,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Mercury,Mariner,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Mercury,Montego,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Mercury,Monterey,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Mercury,Mountaineer (4dr),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2005,Mercury,Sable,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Mercury,Grand Marquis,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Mercury,Mariner,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Mercury,Milan,Instrument Cluster,PATS Type C ,Parameter Reset Required
2006,Mercury,Montego,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Mercury,Monterey,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2006,Mercury,Mountaineer (4dr),Instrument Cluster,PATS Type C ,Parameter Reset Required
2007,Mercury,Grand Marquis,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2007,Mercury,Mariner,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2007,Mercury,Milan,Instrument Cluster,PATS Type C ,Parameter Reset Required
2007,Mercury,Montego,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2007,Mercury,Monterey,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2007,Mercury,Mountaineer (4dr),Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Mercury,Grand Marquis,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2008,Mercury,Mariner,Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Mercury,Mariner (Hybrid),Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Mercury,Milan,Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Mercury,Mountaineer (4dr),Instrument Cluster,PATS Type C ,Parameter Reset Required
2008,Mercury,Sable,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Mercury,Grand Marquis,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2009,Mercury,Mariner,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Mercury,Mariner (Hybrid),Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Mercury,Milan,Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Mercury,Mountaineer (4dr),Instrument Cluster,PATS Type C ,Parameter Reset Required
2009,Mercury,Sable,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Mercury,Grand Marquis,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2010,Mercury,Mariner,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Mercury,Mariner (Hybrid),Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Mercury,Milan,Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Mercury,Milan (Hybrid),Instrument Cluster,PATS Type C ,Parameter Reset Required
2010,Mercury,Mountaineer (4dr),Instrument Cluster,PATS Type C ,Parameter Reset Required
1998,Mercury,Mystique (V-6 only) (Built February 1st 1998 or Earlier),Stand Alone PATS Module, PATS Type A ,Parameter Reset Not Required
1998,Mercury,Mystique (V-6 only) (Built February 2nd 1998 or Later),Powertrain Control Module, PATS Type E ,Parameter Reset Not Required
